rxn_id,ok,n_atoms,rmsd_R_TS,shift,inter_R,inter_TS,p_order_ok,hit_cap,n_iso_max,max_disp_heavy,max_disp_h,recovery_used,reused,reason
3139,True,64.0,1.6424646734819057,1.404139771948394,2.5590327148761363,2.3786633283001613,True,False,1152.0,3.695759651844556,3.289716637735191,,True,
3140,True,64.0,1.5011519061929721,1.4201049774492276,2.4480000000037645,2.375385859202668,True,False,1152.0,2.7958606158546027,3.194981492228225,,True,
3141,True,62.0,1.22223796126692,0.9018209213900263,2.925000000002056,2.165491681928148,True,True,5000.0,1.7104025793327022,3.065497800736979,,True,
3142,True,62.0,1.182910753878892,1.0796603267699538,2.4750000000045445,2.282323804217973,True,True,5000.0,1.9581913735833816,3.208180772224547,,True,
3143,True,60.0,1.4690125903574323,0.7858099658587889,2.354751192285104,2.1585305033749234,True,False,144.0,4.718546931961076,2.4300104540115757,,True,
3144,True,60.0,1.8516000990437096,0.9490953037529835,2.745000000002402,2.2994205767758107,True,False,144.0,3.678501902479511,4.112139104363141,,True,
3145,True,63.0,1.6041021304178158,1.3082935201528016,2.5816303884135396,2.115468222049199,True,True,5000.0,3.5589983443647775,3.386613033643092,,True,
3146,True,63.0,1.90006670443723,1.928748278394778,2.4030000000000205,2.1526556934400816,True,True,5000.0,3.7391753301870914,2.8426387022126147,,True,
3147,True,55.0,2.7067910448703496,2.898957188710483,2.4030000000064984,2.5360164706484065,True,False,144.0,4.1586791590772965,5.858035002213872,,True,
3148,True,55.0,2.4263307636927345,1.891369428991311,2.610000000001883,2.402101036405422,True,False,144.0,4.097982579338566,5.704475435157883,,True,
3149,True,70.0,2.551959314950338,2.095094119093119,2.6263912041940167,2.226667655690897,True,False,864.0,5.998396957829027,4.623827236743843,,True,
3150,True,70.0,2.5096489042598376,2.0446474793425296,2.6015767092248,2.243651272212328,True,False,864.0,5.869927963178951,4.221009303728804,,True,
3151,True,66.0,1.6559046796849348,1.5136480364672025,2.943000000000961,2.1660832817322606,True,False,2592.0,3.308759049588819,3.3187895875719717,,True,
3152,True,66.0,1.878767445454998,2.118498377611104,2.403000000006534,2.221268862137135,True,False,2592.0,3.1611984852974073,2.041090550576164,,True,
3153,True,76.0,3.7298194466845356,3.9769634342992504,2.160000000002567,2.216579850309932,True,False,2592.0,3.3394380720759274,4.106145444691152,,True,
3154,True,76.0,1.964410313490115,1.787527946595219,2.6258459995681855,2.144255364363116,True,False,2592.0,3.332289389161178,3.182485638650721,,True,
3156,True,71.0,2.474641120990936,2.637629300752451,2.6100000000035704,2.3464771913871223,True,False,2304.0,6.149066169426741,4.274329226862999,,True,
3157,True,60.0,2.2010913690986196,2.0709781040532107,2.1600000000028796,2.3186685503107163,True,False,2304.0,3.1729560785634994,4.402838967712378,,True,
3158,True,60.0,1.9240909263808883,1.7790665685643035,3.0330000000019766,2.326659258443316,True,False,2304.0,2.9076629186170115,4.4871338597796155,,True,
