rxn_id,ok,rmsd,ref_d1,ref_d2,gen_d1,gen_d2,dd1,dd2
68,True,0.4994982145886754,2.7281073550357213,2.1526699704552947,2.354519359760289,2.0571681893829195,-0.3735879952754324,-0.09550178107237528
69,True,0.8135661776263948,2.260990895824218,2.4232187808780288,2.3621797070267534,2.5608232924817362,0.10118881120253542,0.13760451160370746
70,True,1.461184645591152,2.8886684550152166,2.038455368949735,2.294268138167812,2.7710951020638035,-0.5944003168474046,0.7326397331140684
71,True,1.5142327197880512,2.4887414965399683,2.184417792387711,2.1667389483998756,2.498158548246688,-0.32200254814009277,0.3137407558589773
72,True,0.2549821458927527,2.359940382594442,2.5921875907619034,2.1385489099356603,2.557248500408593,-0.22139147265878156,-0.03493909035331022
73,True,1.0063797236465821,2.316292182325019,2.7289828286927715,2.1996710227061227,2.1841140562960533,-0.11662115961889619,-0.5448687723967183
74,True,1.2083163674414694,2.1177824070003033,2.3625161868016904,2.498336782671424,2.381060705609372,0.3805543756711205,0.018544518807681598
75,True,0.7421316867404192,2.0323564105244927,2.570334269039729,2.2171423362384743,2.5879909448554876,0.18478592571398167,0.017656675815758582
76,True,0.9064514107366668,2.1925899654062087,2.292834883741086,2.9107801029279075,2.607055970881715,0.7181901375216988,0.3142210871406288
77,True,0.619167196402245,1.9854009901025034,2.5799524538835983,2.4270088101002023,2.569020303759003,0.44160781999769894,-0.010932150124595363
78,True,0.5332581178015816,2.292525900071796,2.4145030432989723,2.414186451051575,2.4956737090365,0.12166055097977901,0.08117066573752796
79,True,0.8971255435421335,2.6778998879532447,2.1840332267161138,2.429860029679282,2.188430520297594,-0.2480398582739629,0.004397293581480444
80,True,0.18116827901814864,2.4863070863833374,2.5790151395639382,2.6016345001827217,2.2665540396930757,0.11532741379938427,-0.31246109987086257
81,True,0.1936484771851756,2.513677525797611,2.461744701710557,2.4759577722305766,2.308076544206669,-0.03771975356703461,-0.1536681575038883
82,True,0.7847668357280742,2.6692040138775455,2.3705916784845087,2.541571576350546,2.636156849139671,-0.12763243752699927,0.2655651706551625
83,True,0.9896164562217502,2.663457736571016,2.367980100359798,2.5393443332848737,2.3721696755301886,-0.12411340328614218,0.004189575170390647
84,True,1.3562942234891588,2.8042724792180946,2.2461764679116376,2.600396651465695,2.2527893941569417,-0.20387582775239954,0.006612926245304074
85,True,0.7101346410637058,3.8316760351835595,2.1048222949218305,2.7964057035253314,2.3957600541272908,-1.0352703316582281,0.2909377592054603
86,True,0.23108372073813255,3.1495632511191136,2.29432392381721,2.420539855525829,2.149834237606705,-0.7290233955932846,-0.1444896862105054
87,True,0.13392428234653844,2.4047373742885103,2.5609396134036433,2.2375115853253145,2.3382211073989563,-0.16722578896319584,-0.222718506004687
88,True,0.33595246624382885,2.431368349345693,2.512282378276773,2.7543355207151143,2.663082743098682,0.32296717136942155,0.15080036482190895
89,True,0.2745600445718753,2.7096678418581126,2.206673205551742,2.640410735838271,2.3520899305411347,-0.0692571060198417,0.1454167249893925
90,True,0.5908296670407233,2.275921274099787,2.800575948014979,2.242622573322805,2.6131238440339946,-0.03329870077698205,-0.18745210398098466
91,True,0.7377537212499358,2.3138033673153817,3.3983644476277113,2.3744144732082897,2.6772822807922214,0.06061110589290797,-0.7210821668354899
92,True,0.5876173404181283,2.374279224480558,2.681227246113242,2.442001187231693,2.157197140342301,0.06772196275113496,-0.5240301057709411
93,True,0.6722164953747292,2.408913094343588,2.4642679189974452,2.1947724268338162,2.224781996322561,-0.2141406675097719,-0.23948592267488422
94,True,0.4580754489284892,2.3654862259374925,2.3900330924278017,2.444242132047069,2.526274014463197,0.07875590610957639,0.1362409220353955
95,True,0.7382648759757848,2.404432996051252,2.312221819181715,2.6178122622711126,3.0736568431217237,0.21337926621986059,0.7614350239400087
96,True,0.7125954551574054,2.4977262989767315,2.2095649155659585,2.7187702115423438,2.8671925619870735,0.2210439125656123,0.657627646421115
97,True,0.8021331321500514,2.499584378591769,2.261958639520184,2.4392678167128348,2.7171541198147002,-0.060316561878934305,0.4551954802945164
98,True,0.8102970274687371,2.25803583700525,2.4961786356549083,2.3460738159900254,2.5577495580795238,0.08803797898477539,0.06157092242461548
99,True,0.19008924980623598,2.237104017563779,2.3045460893199774,2.5801397604151215,2.3882339685016207,0.34303574285134264,0.08368787918164333
100,True,0.17050096201429124,2.4174894654992816,2.0794988026926102,2.6768599500565955,2.187412366333792,0.25937048455731393,0.10791356364118165
101,True,0.9630699127308658,2.3214433726886385,2.214260422037119,2.349258224334013,2.2054069116580277,0.02781485164537445,-0.008853510379091212
102,True,0.17808364275171876,2.3294148161501846,2.201101797214295,2.3926188198988156,2.1593253481159342,0.063204003748631,-0.04177644909836076
103,True,0.5616959669467323,3.049542991154576,2.04889379334313,2.812145949970947,1.6695728232002942,-0.23739704118362903,-0.3793209701428357
105,True,0.29401882768432513,2.606879753383343,1.9566819844829155,2.3368302210400307,2.0318191699231014,-0.2700495323433123,0.07513718544018588
106,True,0.3039280263467485,2.4994648717275467,1.9407595473422254,2.16302392505261,2.1541401419903026,-0.33644094667493674,0.21338059464807713
107,True,0.14753001277781985,2.2141417296550827,2.6582291942193397,2.170831602886092,2.57619908287112,-0.04331012676899082,-0.08203011134821958
108,True,0.29994822163688734,2.2323089522062127,2.563022396254079,2.213726574361206,2.487777582474366,-0.018582377845006715,-0.07524481377971304
109,True,1.8907447373019886,2.8466328067385156,1.9257597589782585,2.66860561497367,1.7328849751062534,-0.1780271917648455,-0.19287478387200507
