arm,split,seed,fold,channel,train_mae,test_mae,n_train,n_test
B_concat,component,43,1,cpcm_dft,0.05249286880639237,2.688955312783795,1394,387
B_concat,component,43,2,d1_own_dft,0.0434426619910213,2.6812462248488913,1394,387
B_concat,component,43,2,d2_own_dft,0.0399333019002623,2.3846028456384825,1394,387
B_concat,component,43,2,elst_dft,0.0912885019677414,5.992175939139462,1394,387
B_concat,component,43,2,pauli_dft,0.14279305070910173,10.476437079790097,1394,387
B_concat,component,43,2,oi_dft,0.07588685024593411,6.286424142394679,1394,387
B_concat,component,43,2,disp_dft,0.020135414641778558,1.5907494142660499,1394,387
B_concat,component,43,2,cpcm_dft,0.04462543478796799,3.277309254867736,1394,387
B_concat,component,43,3,d1_own_dft,0.042113854285846374,2.762748615837701,1394,387
B_concat,component,43,3,d2_own_dft,0.03786345866654888,2.6766766771953554,1394,387
B_concat,component,43,3,elst_dft,0.10424953999510002,5.467764288132145,1394,387
B_concat,component,43,3,pauli_dft,0.16538739404015726,10.292963965514684,1394,387
B_concat,component,43,3,oi_dft,0.08762559290054493,5.263622313356898,1394,387
B_concat,component,43,3,disp_dft,0.025295103861925225,1.6734161920252917,1394,387
B_concat,component,43,3,cpcm_dft,0.050635292426234706,2.6215160206334063,1394,387
B_concat,component,43,4,d1_own_dft,0.04353735155770949,2.5421123088335174,1394,387
B_concat,component,43,4,d2_own_dft,0.041302879482018565,2.7380824935161745,1394,387
B_concat,component,43,4,elst_dft,0.08474420226669867,5.643140470633456,1394,387
B_concat,component,43,4,pauli_dft,0.143922776378205,10.492020325513012,1394,387
B_concat,component,43,4,oi_dft,0.08236517290944553,6.377892672297416,1394,387
B_concat,component,43,4,disp_dft,0.02244814367615496,1.6218430385687086,1394,387
B_concat,component,43,4,cpcm_dft,0.05595257233883538,2.7697422467831108,1394,387
B_concat,component,44,0,d1_own_dft,0.05173649200636905,2.5216560755592465,1393,388
B_concat,component,44,0,d2_own_dft,0.03791512425885659,3.338187261828664,1393,388
B_concat,component,44,0,elst_dft,0.0832545061423476,3.756807021071834,1393,388
B_concat,component,44,0,pauli_dft,0.15610573782158255,8.119712182450591,1393,388
B_concat,component,44,0,oi_dft,0.07865444883746557,4.513608554774641,1393,388
B_concat,component,44,0,disp_dft,0.019856788059238784,1.3602528367498719,1393,388
B_concat,component,44,0,cpcm_dft,0.0507592570546584,2.9379676759933293,1393,388
B_concat,component,44,1,d1_own_dft,0.045216299030032645,2.2075891922577133,1394,387
