arm,channel,swap_type,n,mae_delta
A_diff,elst_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,4.913215809466387
A_diff,elst_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,3.7477673195872634
A_diff,elst_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,11.666451897345134
A_diff,elst_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,5.023726275884852
A_diff,elst_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,4.063723672177834
A_diff,elst_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,4.329963082428416
A_diff,elst_dft,*C(=O)OC([H])([H])[H]>>*[H],265,5.255321505582072
A_diff,elst_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,5.676025192275056
A_diff,elst_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,2.1328831141482736
A_diff,elst_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,3.7497363930051875
A_diff,elst_dft,*C([H])([H])[H]>>*[H],445,3.663770637504047
A_diff,elst_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,4.451909573684171
A_diff,elst_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,4.26289374254494
A_diff,elst_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,4.26187735870681
A_diff,elst_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,6.2361270503714294
A_diff,oi_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,5.020384988142427
A_diff,oi_dft,*Br>>*C#N,10,5.2477685750480925
A_diff,oi_dft,*Br>>*Cl,30,12.530342356742032
A_diff,oi_dft,*C#N>>*C(=O)C([H])([H])[H],490,2.1826506121599984
A_diff,oi_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,3.8727120306179725
A_diff,oi_dft,*C#N>>*C(=O)OC([H])([H])[H],305,3.790245286601424
A_diff,oi_dft,*C#N>>*C([H])([H])[H],500,6.197708243919077
A_diff,oi_dft,*C#N>>*F,20,7.709568775998861
A_diff,oi_dft,*C#N>>*[H],125,4.996589986193788
A_diff,oi_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,6.921592839077248
