arm,split,channel,bin,n,sign_acc
B_concat,swaptype_holdout,pauli_dft,"[10,inf)",4570,0.8975929978118162
C_symmetric,component,cpcm_dft,"[0,1)",1345,0.5635687732342007
C_symmetric,component,cpcm_dft,"[1,2)",1510,0.6894039735099338
C_symmetric,component,cpcm_dft,"[2,3)",1185,0.7383966244725738
C_symmetric,component,cpcm_dft,"[3,5)",1840,0.8277173913043478
C_symmetric,component,cpcm_dft,"[5,10)",2465,0.9561866125760649
C_symmetric,component,cpcm_dft,"[10,inf)",1335,0.9962546816479401
C_symmetric,component,d1_own_dft,"[0,1)",1730,0.6855491329479769
C_symmetric,component,d1_own_dft,"[1,2)",1380,0.8557971014492753
C_symmetric,component,d1_own_dft,"[2,3)",990,0.9272727272727272
C_symmetric,component,d1_own_dft,"[3,5)",1275,0.9341176470588235
C_symmetric,component,d1_own_dft,"[5,10)",1660,0.9783132530120482
C_symmetric,component,d1_own_dft,"[10,inf)",2645,1.0
C_symmetric,component,d2_own_dft,"[0,1)",1725,0.6898550724637681
C_symmetric,component,d2_own_dft,"[1,2)",1310,0.7938931297709924
C_symmetric,component,d2_own_dft,"[2,3)",915,0.8360655737704918
C_symmetric,component,d2_own_dft,"[3,5)",1430,0.9566433566433566
C_symmetric,component,d2_own_dft,"[5,10)",1945,0.9748071979434447
C_symmetric,component,d2_own_dft,"[10,inf)",2355,1.0
C_symmetric,component,disp_dft,"[0,1)",2665,0.6799249530956848
C_symmetric,component,disp_dft,"[1,2)",2325,0.8791397849462366
C_symmetric,component,disp_dft,"[2,3)",1555,0.9472668810289389
C_symmetric,component,disp_dft,"[3,5)",1935,0.986046511627907
C_symmetric,component,disp_dft,"[5,10)",1170,0.9991452991452991
C_symmetric,component,disp_dft,"[10,inf)",30,1.0
C_symmetric,component,elst_dft,"[0,1)",1130,0.5088495575221239
C_symmetric,component,elst_dft,"[1,2)",1135,0.5700440528634361
C_symmetric,component,elst_dft,"[2,3)",950,0.6463157894736842
C_symmetric,component,elst_dft,"[3,5)",1650,0.7830303030303031
C_symmetric,component,elst_dft,"[5,10)",2710,0.8428044280442805
C_symmetric,component,elst_dft,"[10,inf)",2105,0.9258907363420428
C_symmetric,component,oi_dft,"[0,1)",1050,0.4990476190476191
C_symmetric,component,oi_dft,"[1,2)",1100,0.6118181818181818
C_symmetric,component,oi_dft,"[2,3)",925,0.7372972972972973
