arm,split,seed,channel,n,mae_delta,median_err,sign_acc,spearman,slope
A_diff,swaptype_holdout,46,oi_dft,1936.0,4.433091576418469,2.8684412482377475,0.7995867768595041,0.7438803970268134,0.6284183037285748
A_diff,swaptype_holdout,46,pauli_dft,1936.0,7.6947457683437985,5.001243798543037,0.800103305785124,0.7456352322847773,0.5264001832224039
B_concat,component,42,cpcm_dft,1936.0,2.8265383398105324,2.332715334280484,0.7820247933884298,0.790844678022055,0.6818703022431862
B_concat,component,42,d1_own_dft,1936.0,2.625732784488738,1.8297445170620872,0.8615702479338843,0.9132676866431898,0.7544258019003478
B_concat,component,42,d2_own_dft,1936.0,2.5227373333437253,1.7479636220953978,0.8553719008264463,0.9058203699710857,0.7860298878260482
B_concat,component,42,disp_dft,1936.0,1.5182311340096493,1.2443773821753243,0.806301652892562,0.7862866451860023,0.5466275914674252
B_concat,component,42,elst_dft,1936.0,5.101290210280993,3.7050321518636267,0.7370867768595041,0.608771179726243,0.3247789775705002
B_concat,component,42,oi_dft,1936.0,5.440393838308544,4.038306859586665,0.7267561983471075,0.6374976802265137,0.4671268429263122
B_concat,component,42,pauli_dft,1936.0,9.306128726771206,6.538087302777392,0.746900826446281,0.6560934739971872,0.3905456729318637
B_concat,component,43,cpcm_dft,1936.0,2.8715538710606356,2.36955454893816,0.7887396694214877,0.7915265665701977,0.6728419434430423
B_concat,component,43,d1_own_dft,1936.0,2.53220793814119,1.6551272362214675,0.8646694214876033,0.9150397873193963,0.7549624350391271
B_concat,component,43,d2_own_dft,1936.0,2.519083318069857,1.7374209831170395,0.8424586776859504,0.8991893832480121,0.7934289508648444
B_concat,component,43,disp_dft,1936.0,1.5526252763681598,1.2859190922072106,0.793904958677686,0.7779691008652229,0.5284294669432797
B_concat,component,43,elst_dft,1936.0,5.110216725755992,3.76617965101865,0.7277892561983471,0.5968847761439671,0.3342834913177253
B_concat,component,43,oi_dft,1936.0,5.466136213517533,4.077463782886063,0.7308884297520661,0.6483865671529732,0.47861502919427373
B_concat,component,43,pauli_dft,1936.0,9.325581494352733,6.761663857143574,0.7370867768595041,0.6379147102595887,0.38623904305026424
B_concat,component,44,cpcm_dft,1936.0,2.868754887137038,2.433782525302387,0.7747933884297521,0.7888363801207706,0.6791946655243949
B_concat,component,44,d1_own_dft,1936.0,2.5625903801231145,1.6887097737523127,0.8620867768595041,0.9110954480578611,0.7458890602056175
B_concat,component,44,d2_own_dft,1936.0,2.62983238047472,1.8025440131807562,0.8424586776859504,0.8933638056727858,0.7845528048852575
B_concat,component,44,disp_dft,1936.0,1.5098557961232937,1.2524469194404437,0.7980371900826446,0.7919237898472257,0.5408537541593685
B_concat,component,44,elst_dft,1936.0,5.168629909399675,3.7931323713865304,0.7412190082644629,0.5957844155078713,0.3309816519106491
B_concat,component,44,oi_dft,1936.0,5.349184929813839,4.004362347111897,0.7350206611570248,0.6586591062639985,0.47125257826068456
B_concat,component,44,pauli_dft,1936.0,9.434108976554981,7.060664004122131,0.7443181818181818,0.647224829883002,0.4051056683065739
B_concat,component,45,cpcm_dft,1936.0,2.839065196851371,2.3905816353290685,0.7892561983471075,0.791196603907843,0.6794958697572405
B_concat,component,45,d1_own_dft,1936.0,2.5416348407778115,1.6127805825750121,0.8584710743801653,0.9096644748424761,0.7616566118685258
B_concat,component,45,d2_own_dft,1936.0,2.4582718919862874,1.7294715904241844,0.8569214876033058,0.908857362349991,0.8060223109600873
B_concat,component,45,disp_dft,1936.0,1.518684991165724,1.242788490004762,0.7959710743801653,0.7872650463460231,0.5395919049688093
B_concat,component,45,elst_dft,1936.0,5.100560232447904,3.9485190365720335,0.7370867768595041,0.5973731597800442,0.3383681875162694
B_concat,component,45,oi_dft,1936.0,5.4125207876699815,3.9861565351891137,0.71900826446281,0.6483831902308851,0.46907186047467336
B_concat,component,45,pauli_dft,1936.0,9.323103479372339,6.795487373128061,0.7417355371900827,0.6461637784721911,0.3892385640932663
B_concat,component,46,cpcm_dft,1936.0,2.8858690208848556,2.469369428330232,0.78150826446281,0.7847293962523043,0.6886452057548564
B_concat,component,46,d1_own_dft,1936.0,2.7081671643915977,1.8042583143512934,0.8569214876033058,0.8975003715110416,0.7455438758044033
B_concat,component,46,d2_own_dft,1936.0,2.548354421321069,1.8364333279835217,0.84349173553719,0.9013995870232655,0.7920727659552019
B_concat,component,46,disp_dft,1936.0,1.5042050402908325,1.2280079756583744,0.8088842975206612,0.7959292725663314,0.5367575267854506
B_concat,component,46,elst_dft,1936.0,5.1171751177407785,3.8549502891901106,0.7350206611570248,0.6039245473890819,0.33715952239167774
B_concat,component,46,oi_dft,1936.0,5.390210395129058,4.052133898867602,0.7277892561983471,0.6346788036090928,0.47019331239582285
B_concat,component,46,pauli_dft,1936.0,9.426813184849646,6.988205938419426,0.737603305785124,0.636309375741389,0.40342546367559845
B_concat,swaptype_holdout,42,cpcm_dft,1936.0,2.4699947811856813,1.8580144087115507,0.8197314049586777,0.8452238447875321,0.7258684817807014
B_concat,swaptype_holdout,42,d1_own_dft,1936.0,1.9593670548687774,1.0523495494147745,0.9044421487603306,0.9362755949443803,0.8162214077164113
B_concat,swaptype_holdout,42,d2_own_dft,1936.0,2.177276821506465,1.4409738796156617,0.8574380165289256,0.9089475288157126,0.8464519464063139
B_concat,swaptype_holdout,42,disp_dft,1936.0,1.3433018159314873,1.0657114753834165,0.8264462809917356,0.8358787470646658,0.6268082475691622
B_concat,swaptype_holdout,42,elst_dft,1936.0,4.356969577216973,3.111575867520827,0.765495867768595,0.6917777040654006,0.48400314041171527
B_concat,swaptype_holdout,42,oi_dft,1936.0,4.514501357154963,2.9122364473236715,0.7747933884297521,0.7269229909289785,0.5971836130735516
B_concat,swaptype_holdout,42,pauli_dft,1936.0,7.51154980569626,5.008650812665891,0.7897727272727273,0.7491998960265203,0.5384254967565612
B_concat,swaptype_holdout,43,cpcm_dft,1936.0,2.501366306022244,1.9354283093644922,0.8083677685950413,0.8422012398827529,0.7284556982755556
B_concat,swaptype_holdout,43,d1_own_dft,1936.0,1.9493784211861591,1.109994349149611,0.9049586776859504,0.9362047358074429,0.8212022799017583
B_concat,swaptype_holdout,43,d2_own_dft,1936.0,2.1667510112847745,1.4286038027904233,0.8610537190082644,0.90798860531894,0.8501603863908694
