scheme,seed,channel,n_pairs,abs_mae,baseline_mae_delta,mae_delta,mae_delta_ci_lo,mae_delta_ci_hi,median_err_delta,improvement_over_zero,sign_accuracy,spearman_delta,target_vs_1kcal
kfold_random,44,elst_dft,1936,3.6889218160533823,6.618378521592867,4.083611553487982,3.931825609063281,4.235138890777663,3.2131672242578873,0.3829891203464795,0.7840909090909091,0.7719341656966697,4.083611553487982
kfold_random,44,pauli_dft,1936,5.397405222375797,12.601847049688775,5.970689325865146,5.719436349191336,6.2202006935640926,4.37373015300782,0.5262052219549354,0.8352272727272727,0.8584826662192325,5.970689325865146
kfold_random,44,oi_dft,1936,2.9634671351548545,7.644813819716968,3.5449981132872304,3.3993828164681674,3.682382432987205,2.6985914660040713,0.5362871880353424,0.8398760330578512,0.8550432499275925,3.5449981132872304
kfold_random,44,disp_dft,1936,0.9891735145554866,2.4986130621660614,1.0611540312805143,1.0236376592590386,1.0977332166949834,0.8837812739456545,0.5753027760286364,0.8662190082644629,0.9022200385233715,1.0611540312805143
kfold_random,44,cpcm_dft,1936,2.303698378921497,5.1617798208467125,2.3695920238656583,2.2820705459003814,2.452617966845358,1.9230093316113543,0.5409350832254286,0.8347107438016529,0.864121200015889,2.3695920238656583
kfold_random,44,cds_dft,1936,0.2960727909703346,0.37949678892390293,0.3080341056067545,0.2950798797618673,0.3209865317727169,0.21668135465412752,0.18830905926710806,0.7246900826446281,0.560239580219148,0.3080341056067545
kfold_random,44,interaction_own_dft,1936,1.986741309143664,4.674185625374449,2.1848846540731772,2.09738928785405,2.264409653983994,1.6968992594468846,0.532563567391882,0.8259297520661157,0.8606088537605202,2.1848846540731772
kfold_random,45,d1_own_dft,1936,1.8224528727038993,6.614571969650818,1.7486966334578609,1.6691834778470354,1.827314021264838,1.1593262356009442,0.7356296610753825,0.8987603305785123,0.9441858381413127,1.7486966334578609
kfold_random,45,d2_own_dft,1936,1.4985021061802077,6.7835773076173105,1.6226612426573424,1.5541417119247911,1.7007391661420173,1.1608667205528107,0.7607956437917721,0.8724173553719008,0.9410808740426911,1.6226612426573424
kfold_random,45,elst_dft,1936,3.742749409095062,6.618378521592867,4.196930454623537,4.036612705322827,4.352957772965304,3.2335748528566555,0.3658672678012004,0.7758264462809917,0.7478452624181017,4.196930454623537
kfold_random,45,pauli_dft,1936,5.472920947886,12.601847049688775,5.971186213920653,5.705337187935418,6.241361468290893,4.4316850410612645,0.526165792175035,0.8460743801652892,0.8665184194562572,5.971186213920653
kfold_random,45,oi_dft,1936,3.0198211452119175,7.644813819716968,3.736824643092429,3.5833069805684405,3.8697528720043963,2.885827045419294,0.5111948137370366,0.8233471074380165,0.8375541088922759,3.736824643092429
kfold_random,45,disp_dft,1936,0.998976169540849,2.4986130621660614,1.0498778761741214,1.0143339581239557,1.0881683867791316,0.8475648484235934,0.5798157417523557,0.8724173553719008,0.8994945597652864,1.0498778761741214
kfold_random,45,cpcm_dft,1936,2.2820261399189743,5.1617798208467125,2.344453413935437,2.2638309797298093,2.4314901212292805,1.8680247278451585,0.5458052270135643,0.8393595041322314,0.868902265160619,2.344453413935437
kfold_random,45,cds_dft,1936,0.2987469366161068,0.37949678892390293,0.30641155034158685,0.29381443777207467,0.31935653258085916,0.2252068413864614,0.19258460338901895,0.7055785123966942,0.5555922425120887,0.30641155034158685
kfold_random,45,interaction_own_dft,1936,1.9894560537805308,4.674185625374449,2.2498975367318494,2.160485389067946,2.339663043179862,1.7502544295097628,0.5186546455241365,0.831095041322314,0.8564019331737878,2.2498975367318494
kfold_random,46,d1_own_dft,1936,1.838877769544955,6.614571969650818,1.6437485986496885,1.5733946265764238,1.7169927639479485,1.1470562428557258,0.7514958479261264,0.9049586776859504,0.9535252371014392,1.6437485986496885
kfold_random,46,d2_own_dft,1936,1.4881183666511477,6.7835773076173105,1.7026546585697078,1.6278943504285692,1.7854685355386501,1.1773169586979173,0.7490034267527563,0.8703512396694215,0.93307071727975,1.7026546585697078
kfold_random,46,elst_dft,1936,3.7242581646215567,6.618378521592867,3.909581529140901,3.7571194770353693,4.050842957902643,3.077807709885679,0.4092840842533182,0.7928719008264463,0.7832643660665568,3.909581529140901
kfold_random,46,pauli_dft,1936,5.547287775626208,12.601847049688775,6.2464879774449,5.984782375977038,6.5055592179736506,4.711645822230196,0.5043196483170165,0.8347107438016529,0.8473792355938303,6.2464879774449
kfold_random,46,oi_dft,1936,2.9205906138012927,7.644813819716968,3.6613715686553863,3.5071018679671857,3.8151885255254703,2.6831962386044097,0.5210646518019533,0.8341942148760331,0.8416941244168565,3.6613715686553863
kfold_random,46,disp_dft,1936,0.9886418563012898,2.4986130621660614,1.0763725372144992,1.0376828603314272,1.1156530532168667,0.8761126204640579,0.5692119946409846,0.8682851239669421,0.8986833724755314,1.0763725372144992
kfold_random,46,cpcm_dft,1936,2.2559542920344176,5.1617798208467125,2.354178737694223,2.2663923567265525,2.4393265456799766,1.8821064083492778,0.5439211242241526,0.8321280991735537,0.8640600615195163,2.354178737694223
kfold_random,46,cds_dft,1936,0.29419097994866683,0.37949678892390293,0.29808362959849793,0.2856731760896865,0.310332936895395,0.219980086956302,0.21452924425595088,0.7334710743801653,0.5868952551863289,0.29808362959849793
kfold_random,46,interaction_own_dft,1936,1.9904391092012161,4.674185625374449,2.219372935497865,2.131369866292494,2.3003199197922988,1.7327455352402907,0.5251851095836462,0.8264462809917356,0.8539710718499542,2.219372935497865
groupkfold_component,42,d1_own_dft,1936,1.816198342203047,6.614571969650818,1.7055554647954965,1.63019550724295,1.7833810133486656,1.1138669249020312,0.7421518017158211,0.9096074380165289,0.9518804296384215,1.7055554647954965
groupkfold_component,42,d2_own_dft,1936,1.5882341426570947,6.7835773076173105,1.7628397098435582,1.6912299693159396,1.8398107188171677,1.179836967794274,0.740131256724375,0.878099173553719,0.9371377089313435,1.7628397098435582
groupkfold_component,42,elst_dft,1936,3.821120125139623,6.618378521592867,4.261736966267953,4.102227695743483,4.418903795427399,3.300323853806713,0.35607536613933854,0.7758264462809917,0.7498176230549912,4.261736966267953
