phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,y_range,n_seeds
Phase 3 (τ=0.05),oi,ridge,oi_dft,4.191344910132088,0.1336587612017615,0.7375692204562461,0.2010861565211382,99.72102480987355,5
Phase 3 (τ=0.05),oi,krr,oi_dft,4.480488241728876,0.2356953012057776,0.6764951697136847,0.08476476369014078,99.72102480987355,5
Phase 3 (τ=0.05),oi,svr,oi_dft,3.176134003963172,0.1761955290652477,0.8605760370390432,0.02252874815109659,99.72102480987355,5
Phase 3 (τ=0.05),oi,rf,oi_dft,5.145511335306036,0.2470393658727779,0.7335248230183579,0.01705341344909543,99.72102480987355,5
Phase 3 (τ=0.05),oi,xgb,oi_dft,3.154839420892343,0.11192912975375544,0.8896876992351638,0.007721897154087449,99.72102480987355,5
Phase 3 (τ=0.05),elst,ridge,elst_dft,4.791041058059979,0.14367295443999842,0.7229261413001252,0.11131894923732705,111.81272976499092,5
Phase 3 (τ=0.05),elst,krr,elst_dft,5.31376327403742,0.3358827413050589,0.597903246352961,0.07459633886092418,111.81272976499092,5
Phase 3 (τ=0.05),elst,svr,elst_dft,4.0478694503318815,0.22534197206702783,0.7943052364236769,0.023614249874404324,111.81272976499092,5
Phase 3 (τ=0.05),elst,rf,elst_dft,5.535916962266084,0.11345710337083921,0.6834246990041419,0.02891320189254587,111.81272976499092,5
Phase 3 (τ=0.05),elst,xgb,elst_dft,3.951043556467684,0.12632062069788969,0.8312336956696319,0.007217134921554324,111.81272976499092,5
Phase 3 (τ=0.05),disp,ridge,disp_dft,0.011134141943994804,0.0004600938636767853,0.9999912247946948,7.616558684303229e-07,31.31429297270564,5
Phase 3 (τ=0.05),disp,krr,disp_dft,0.8403002118055136,0.04950290866427936,0.8990064410677394,0.022395049708582845,31.31429297270564,5
Phase 3 (τ=0.05),disp,svr,disp_dft,0.3466604718307075,0.024041795675548087,0.9810552770313656,0.0035801292424065753,31.31429297270564,5
Phase 3 (τ=0.05),disp,rf,disp_dft,0.06342846184485314,0.014186967117496762,0.9978625980602327,0.002385579320581942,31.31429297270564,5
Phase 3 (τ=0.05),disp,xgb,disp_dft,0.09832858288657546,0.0115863580331378,0.9965954347908369,0.003206320057492378,31.31429297270564,5
Phase 3 (τ=0.05),cpcm,ridge,cpcm_dft,2.7970653910948826,0.1685966551059279,0.682839069147146,0.08461940497064878,43.12509475503047,5
Phase 3 (τ=0.05),cpcm,krr,cpcm_dft,2.8608715451119915,0.0890844713742479,0.6456798622419972,0.03931338096910548,43.12509475503047,5
Phase 3 (τ=0.05),cpcm,svr,cpcm_dft,2.5246926686672935,0.0654611314287193,0.7358943717108758,0.024621035265512257,43.12509475503047,5
Phase 3 (τ=0.05),cpcm,rf,cpcm_dft,3.0707547834825237,0.15392513816053854,0.6384536360559439,0.038388089417809246,43.12509475503047,5
Phase 3 (τ=0.05),cpcm,xgb,cpcm_dft,2.43432245051416,0.07188030234637627,0.76407297239927,0.020986232572591492,43.12509475503047,5
Phase 3 (τ=0.05),cds,ridge,cds_dft,0.39129002004061486,0.020582411785774204,0.49733242445989834,0.17606064631385304,6.213293026806105,5
