phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,nmae_mean,nmae_std,mad,n_seeds,oracle
Phase 2 (τ=1e-10),elst,xgb,elst_dft,3.7627749526222494,0.12077648544754457,0.842917873281638,0.008609195065870615,0.372742053310276,0.011964168929620253,10.094849559381645,5,False
Phase 2 (τ=1e-10),disp,ridge,disp_dft,1.3484858997150844,0.047380793967012544,0.8187080576446814,0.12894607643835124,0.36129635841154706,0.012694614250357623,3.732353975677344,5,True
Phase 2 (τ=1e-10),disp,krr,disp_dft,1.337116199438335,0.05126458925094355,0.8374525132250547,0.023969999573144326,0.3582501038625835,0.013735189530526805,3.732353975677344,5,True
Phase 2 (τ=1e-10),disp,svr,disp_dft,1.0215931475123408,0.05686836739107298,0.9180500248792178,0.010374541671200763,0.27371282417738607,0.015236595393059568,3.732353975677344,5,True
Phase 2 (τ=1e-10),disp,rf,disp_dft,1.5640556604789726,0.05745560395719693,0.8203671998354742,0.007823072908622716,0.4190534099047048,0.015393932175677399,3.732353975677344,5,True
Phase 2 (τ=1e-10),disp,xgb,disp_dft,1.0093324310519503,0.04863121388028516,0.9191175309814605,0.006566291800642239,0.2704278419542931,0.013029636041275964,3.732353975677344,5,True
Phase 2 (τ=1e-10),cpcm,ridge,cpcm_dft,2.6771328826528786,0.15537417203364298,0.7158321833886824,0.05959897277162091,0.5376999771733417,0.031206776957977862,4.978859952210551,5,False
Phase 2 (τ=1e-10),cpcm,krr,cpcm_dft,2.784166965229015,0.10460934421823866,0.6640744910449404,0.04015227868966832,0.5591976862078396,0.02101070229376374,4.978859952210551,5,False
Phase 2 (τ=1e-10),cpcm,svr,cpcm_dft,2.4106881742876056,0.09319822064988104,0.756287112155303,0.03117209277573461,0.4841847727042996,0.018718787341769315,4.978859952210551,5,False
Phase 2 (τ=1e-10),cpcm,rf,cpcm_dft,3.066750562466276,0.14017329878040297,0.6367521453934483,0.03516441169708645,0.6159543734715168,0.02815369384273759,4.978859952210551,5,False
Phase 2 (τ=1e-10),cpcm,xgb,cpcm_dft,2.391385991448804,0.03898341573390765,0.7729825500449969,0.02077454311347128,0.4803079448714075,0.007829787563435983,4.978859952210551,5,False
Phase 2 (τ=1e-10),cds,ridge,cds_dft,0.4093725416679508,0.019694131648223145,0.40812766426671365,0.3050986261633487,0.7144613582603897,0.034371372319742494,0.5729806614940154,5,False
Phase 2 (τ=1e-10),cds,krr,cds_dft,0.38037070296797665,0.01749417318835236,0.5898881268552358,0.01553248632819024,0.6638456208560007,0.030531873698384986,0.5729806614940154,5,False
Phase 2 (τ=1e-10),cds,svr,cds_dft,0.33803613695176427,0.01890181632559533,0.6575316738904597,0.02689039292462125,0.5899608131107841,0.0329885763968192,0.5729806614940154,5,False
Phase 2 (τ=1e-10),cds,rf,cds_dft,0.38370553498096116,0.015771575953529127,0.6073778633836222,0.04797112499557593,0.6696657684405443,0.02752549433763718,0.5729806614940154,5,False
Phase 2 (τ=1e-10),cds,xgb,cds_dft,0.29140670794125423,0.01653106006168637,0.7486255357886827,0.025878529432570446,0.5085803544947353,0.028850991268331024,0.5729806614940154,5,False
Phase 3 (τ=0.05),d1,ridge,d1_own_dft,2.605839780705704,0.014030261328292734,0.849369379208774,0.016535703835825845,0.3386285555007297,0.0018232307151327836,7.695274773423794,5,False
Phase 3 (τ=0.05),d1,krr,d1_own_dft,2.637807776649285,0.0854690558791273,0.8432643176961608,0.01883278126904541,0.34278279259879724,0.011106693184537227,7.695274773423794,5,False
Phase 3 (τ=0.05),d1,svr,d1_own_dft,2.184655315334917,0.10704404257699057,0.9011420734253855,0.011942030053459484,0.2838956865945564,0.013910360023358123,7.695274773423794,5,False
Phase 3 (τ=0.05),d1,rf,d1_own_dft,2.193711370242195,0.0675419216504916,0.9004885664320623,0.007843469874790523,0.2850725198037556,0.008777064320529875,7.695274773423794,5,False
Phase 3 (τ=0.05),d1,xgb,d1_own_dft,1.8061749921080423,0.02419683453971648,0.9305758786373148,0.0036268138735241363,0.23471221565028486,0.0031443756398773512,7.695274773423794,5,False
Phase 3 (τ=0.05),d2,ridge,d2_own_dft,2.1291717067632074,0.09801505594750096,0.8688778242448537,0.016341527476344313,0.31998968827960644,0.014730520370773034,6.653875998975132,5,False
Phase 3 (τ=0.05),d2,krr,d2_own_dft,2.4851983470482173,0.09681824069158626,0.8155421265870911,0.020380569312122503,0.373496342196789,0.014550652988799123,6.653875998975132,5,False
Phase 3 (τ=0.05),d2,svr,d2_own_dft,1.9541021950679203,0.0713612765807796,0.8905337039677865,0.011078940019626091,0.29367878141535886,0.010724768028705535,6.653875998975132,5,False
Phase 3 (τ=0.05),d2,rf,d2_own_dft,1.859306603368339,0.06399682666200601,0.8924413927652599,0.010594923227217891,0.279432108992521,0.00961797705155058,6.653875998975132,5,False
Phase 3 (τ=0.05),d2,xgb,d2_own_dft,1.552648708675006,0.06679952862274778,0.9204016881113402,0.010575729347455248,0.23334500205807168,0.010039190485821591,6.653875998975132,5,False
Phase 3 (τ=0.05),interaction,ridge,interaction_own_dft,2.5486777907992253,0.17727249277176857,0.7648366187496599,0.050446730526334575,0.5349630209368379,0.03720918689861167,4.764213022305598,5,False
Phase 3 (τ=0.05),interaction,krr,interaction_own_dft,2.5561538852125776,0.12168754443067063,0.7357493802070472,0.013547478757411842,0.5365322401086822,0.025542003235569228,4.764213022305598,5,False
Phase 3 (τ=0.05),interaction,svr,interaction_own_dft,2.0826688558370123,0.11737275977578963,0.821700467953663,0.010646313009938081,0.43714855865725405,0.024636337465655165,4.764213022305598,5,False
Phase 3 (τ=0.05),interaction,rf,interaction_own_dft,2.801988491252003,0.15251672819408654,0.718856253084627,0.004485725424275663,0.5881324949437308,0.0320129951116832,4.764213022305598,5,False
Phase 3 (τ=0.05),interaction,xgb,interaction_own_dft,2.042075566953618,0.09997928386068741,0.8448579147769701,0.00815003977766046,0.42862809815447206,0.020985477222070843,4.764213022305598,5,False
Phase 3 (τ=0.05),pauli,ridge,pauli_dft,8.410258221617179,0.46723092861810556,0.7412187921346398,0.19594053605534212,0.42543421500340944,0.023634948904545743,19.768645597885865,5,False
