fold,member,channel,MAE,RMSE,NMAE,R2_det
3,4,barrier,9.748163000417826,13.983218155765558,0.367489889502524,0.8325506038074411
4,0,strain,9.74873674317048,13.997193510347422,0.43710660461738854,0.7477283273048247
4,0,Pauli,29.330938008351204,48.483016833736116,0.36559195798901944,0.8175884545223461
4,0,Velst,14.78961830567091,22.1605729263089,0.4136821657122751,0.7995276506884625
4,0,oi,16.942180261397972,27.17916139783958,0.3080041300424954,0.8696606141674821
4,0,disp,1.3491062810405707,1.9199105135217345,0.2418742111833119,0.9235371374558038
4,0,barrier,10.648962705181194,13.606100779427843,0.4131665124205524,0.829290740900637
4,1,strain,11.05686934884542,15.006987055677666,0.4957596810845978,0.7100163117913777
4,1,Pauli,30.496227683165134,49.954278084070374,0.38011657134159327,0.8063495878590166
4,1,Velst,15.341746168258863,23.55619069484301,0.42912579956575286,0.77348204389321
4,1,oi,17.80940991640091,27.302609212823732,0.3237701242247691,0.868473921700007
4,1,disp,0.9723273410629003,1.5238352997068758,0.17432348506313392,0.9518313318201606
4,1,barrier,9.335500762630732,12.685200456755558,0.3622058221613348,0.8516169206490848
4,2,strain,9.998622928865444,17.51062570840865,0.4483108154856772,0.6051884189358504
4,2,Pauli,24.622263743327213,38.259840944627825,0.3069012525096212,0.886404959213633
4,2,Velst,12.739259136028778,18.60987232232699,0.35633132647794896,0.8586228252476472
4,2,oi,15.285741439996622,22.87296524816093,0.27789053248405216,0.9076900522232164
4,2,disp,1.0205281705428393,1.6810328444553455,0.18296515975747252,0.9413806529254891
4,2,barrier,9.890990906227858,13.196166887570095,0.3837581490562679,0.8394222718717655
4,3,strain,10.283635187798586,14.57767136840699,0.4610899830905336,0.7263705331108383
4,3,Pauli,28.25990026119428,44.52635655816629,0.3522421364813758,0.8461465034031275
4,3,Velst,13.407609267112536,19.74554533780645,0.37502582717204713,0.8408411557286583
4,3,oi,16.80217952682422,26.102404995667534,0.3054589555848756,0.8797833525204592
4,3,disp,1.314230505281534,1.8871173839933524,0.23562151569914536,0.9261268854343357
4,3,barrier,9.863809500367214,12.833486036033696,0.3827035443052657,0.8481275512736226
4,4,strain,11.233531194810684,17.92212916968518,0.5036807134900951,0.5864140665249575
4,4,Pauli,29.592988659174015,46.38162393626077,0.36885825688813173,0.8330582537704565
4,4,Velst,14.816554344617403,21.855162776781413,0.414435596848684,0.8050152695782393
4,4,oi,18.553690120959892,28.106520416665887,0.33730093155748037,0.8606144568749993
4,4,disp,1.114462490647267,1.6028756835406341,0.19980615286349745,0.9467047799155919
4,4,barrier,9.463929938773314,12.899922888373528,0.3671887145114093,0.8465510436323034
