variant,fold,member,channel,MAE,RMSE,NMAE,R2,slope
M_bdelta,0,2,strain,16.314373289264225,22.492910915102172,0.8316990603029044,0.1727206767371896,0.3935438496116783
M_bdelta,0,2,Pauli,75.21675544714778,109.24641460803619,0.7226098310485363,0.2911023463716411,0.43682682903259357
M_bdelta,0,2,V_elst,30.664433055703746,42.980312911543834,0.7134457167692069,0.3430415709342466,0.5175657742602512
M_bdelta,0,2,oi,60.52208314826653,90.88260587316987,0.7433577776900839,0.22751780018270895,0.34672236675923246
M_bdelta,0,2,disp,1.4507640615199346,1.914788611678099,0.2781062305114186,0.9216999888225985,0.9853018181402688
M_bdelta,0,2,barrier,17.716152248892396,23.947033444793394,0.5614450929458928,0.6879394663791653,0.677795346445029
M_bdelta,0,3,strain,17.045757632585442,22.168801869252547,0.8689846893782672,0.19639008333400154,0.3815123667569378
M_bdelta,0,3,Pauli,70.78268793094084,97.20277004772815,0.6800115993155083,0.4387886617768302,0.6189841019996152
M_bdelta,0,3,V_elst,29.64448337509947,40.02581775621222,0.6897153340934414,0.4302567737569336,0.676633006915602
M_bdelta,0,3,oi,56.58290813029187,81.006474457113,0.6949751669970511,0.3862854758726383,0.5415296382952414
M_bdelta,0,3,disp,1.4257926689753742,1.8866465285069933,0.2733193047559564,0.9239846614560656,0.9648521629121232
M_bdelta,0,3,barrier,17.59982615559356,23.356523516474,0.5577585862289346,0.703139915066108,0.7120115051921356
M_bdelta,0,4,strain,16.486888390667033,23.13130747374108,0.8404937988552701,0.1250943794983309,0.3478325319280508
M_bdelta,0,4,Pauli,79.14673538327966,110.41091521316517,0.7603652769035207,0.2759089603517816,0.31709273230326646
M_bdelta,0,4,V_elst,33.27442536189121,45.57704627251795,0.7741703950395482,0.26126088329118713,0.360677465349574
M_bdelta,0,4,oi,60.43461496050253,90.27231432631933,0.7422834564788404,0.23785765467906572,0.2767892404589911
M_bdelta,0,4,disp,1.4266483060219004,1.8658526809310778,0.2734833272872604,0.9256510474933549,0.9527189583762194
M_bdelta,0,4,barrier,20.845370209816867,26.99212861207099,0.6606135830467292,0.6035305991725742,0.6689221701894216
M_bdelta,1,0,strain,14.45162906827806,19.778679326569435,0.7275029666997376,0.42532049051632315,0.5673194963235105
M_bdelta,1,0,Pauli,64.8126275901553,91.63396131649368,0.6793088903438365,0.46701524391705085,0.5476193738970864
M_bdelta,1,0,V_elst,26.03654741033723,36.51045248955007,0.6593170954589225,0.5115272457550923,0.6176787463042771
M_bdelta,1,0,oi,53.590635399275186,74.87885167780172,0.8263102229879118,0.254814297942488,0.49489332947849074
M_bdelta,1,0,disp,1.703590779553486,2.3812784911435916,0.3067504029390233,0.8880796790912815,0.8669568711366838
M_bdelta,1,0,barrier,15.84259960526907,21.28339211723614,0.5351633719607474,0.6842585177297789,0.8479092728316642
M_bdelta,1,1,strain,15.21296663827534,20.46994292293468,0.7658291192889132,0.3844484952887125,0.5137393728836692
M_bdelta,1,1,Pauli,68.38554811175865,94.8974051529769,0.7167570970446208,0.4283758878892845,0.4119185662778133
M_bdelta,1,1,V_elst,27.23979632763923,36.71316756304649,0.6897866722721168,0.5060879439945619,0.4903144071703224
M_bdelta,1,1,oi,55.74138617515564,76.25971946085521,0.859472497328724,0.22707639835440552,0.37665646188960183
M_bdelta,1,1,disp,1.652574158073226,2.293799950983574,0.2975642947588891,0.8961516390223454,0.885778691982484
M_bdelta,1,1,barrier,16.55991900410456,22.07718631695162,0.5593944374309612,0.6602672642686916,0.8392547571228152
M_bdelta,1,2,strain,14.38710623451426,19.153901357270392,0.7242548517113675,0.46105353609895516,0.541419451241479
M_bdelta,1,2,Pauli,67.74175302589995,90.55209080877276,0.7100094038612955,0.4795262510581271,0.540283437708789
M_bdelta,1,2,V_elst,29.113411948650697,37.56751599673424,0.7372317804803309,0.48283291778424986,0.5859306400919805
M_bdelta,1,2,oi,56.07162867618513,74.08669576297586,0.8645644831324499,0.27049778639961664,0.4840959228402083
M_bdelta,1,2,disp,1.6139671044259132,2.233798223268755,0.29061266681822506,0.9015135574199312,0.8986987798404954
M_bdelta,1,2,barrier,16.042515598143204,21.49464245686887,0.5419165387086983,0.6779595672558469,0.8529334380740138
M_bdelta,1,3,strain,14.072721704652038,19.116385363382665,0.7084285613271707,0.46316269502991714,0.5245234754098179
M_bdelta,1,3,Pauli,62.11442371863353,89.41077452307876,0.6510286933199573,0.4925636447066003,0.46256132306011993
M_bdelta,1,3,V_elst,24.688235750681237,34.34899450673891,0.6251741304487135,0.5676514854053634,0.5618866305002324
