arm,family,channel,metric,point,ci_low,ci_high
xgb28_delta,qmrxn20_e2,barrier,RMSE,6.5084044246525865,5.705857845860473,7.255150024612868
xgb28_delta,qmrxn20_e2,barrier,R2,0.7948596365169835,0.738405859711567,0.838725704199137
xgb28_delta,qmrxn20_e2,barrier,slope,0.8205600256999253,,
xgb_28d,qmrxn20_sn2,strain,NMAE,0.2364772671048775,0.20354148856517607,0.27381239134067226
xgb_28d,qmrxn20_sn2,strain,RMSE,4.209776818129541,3.4578821687060826,4.959220897850997
xgb_28d,qmrxn20_sn2,strain,R2,0.9209302832043167,0.8874164570604115,0.9467265929270938
xgb_28d,qmrxn20_sn2,strain,slope,0.8991896922449297,,
xgb_28d,qmrxn20_sn2,Pauli,NMAE,0.23125802517913002,0.20276539006676236,0.2654548134631301
xgb_28d,qmrxn20_sn2,Pauli,RMSE,8.001188994630349,6.9153822461936105,9.24058906279165
xgb_28d,qmrxn20_sn2,Pauli,R2,0.9318393694931295,0.9102677167687376,0.9472636497418334
xgb_28d,qmrxn20_sn2,Pauli,slope,0.842671899332806,,
xgb_28d,qmrxn20_sn2,elst,NMAE,0.2544149719664072,0.222065070384085,0.28999116315873297
xgb_28d,qmrxn20_sn2,elst,RMSE,7.371641093290055,6.3448204730967435,8.476314758713588
xgb_28d,qmrxn20_sn2,elst,R2,0.916155371624645,0.8845033901699992,0.9378254835121782
xgb_28d,qmrxn20_sn2,elst,slope,0.864691580571467,,
xgb_28d,qmrxn20_sn2,oi,NMAE,0.20451564506228648,0.17984172431022072,0.23236061602404368
xgb_28d,qmrxn20_sn2,oi,RMSE,3.6577775598727604,3.2025851929354907,4.134830119703396
xgb_28d,qmrxn20_sn2,oi,R2,0.9506884256041217,0.9363388068614505,0.9615633476901102
xgb_28d,qmrxn20_sn2,oi,slope,0.8886347058225931,,
xgb_28d,qmrxn20_sn2,disp,NMAE,0.18787622016412692,0.16257923046328673,0.21256500407802237
xgb_28d,qmrxn20_sn2,disp,RMSE,0.363716277740588,0.3062579433974106,0.41638900942357104
xgb_28d,qmrxn20_sn2,disp,R2,0.9418430745322101,0.9230806414340226,0.957565004396956
xgb_28d,qmrxn20_sn2,disp,slope,0.9375011215481265,,
xgb_28d,qmrxn20_sn2,barrier,NMAE,0.29988228641765136,0.2656225290020756,0.33761847675500317
xgb_28d,qmrxn20_sn2,barrier,RMSE,5.767238714158221,4.991477421599021,6.555373215706702
xgb_28d,qmrxn20_sn2,barrier,R2,0.8902784412248503,0.8529485924772429,0.9187335990613168
xgb_28d,qmrxn20_sn2,barrier,slope,0.9338013023423096,,
xgb28_delta,qmrxn20_sn2,strain,NMAE,0.22116109796974914,0.18784513169013417,0.2579292364395759
xgb28_delta,qmrxn20_sn2,strain,RMSE,4.030726869227391,3.2129596104244493,4.871410370215673
xgb28_delta,qmrxn20_sn2,strain,R2,0.9275132247422809,0.8924876044604045,0.9531169505745567
xgb28_delta,qmrxn20_sn2,strain,slope,0.9093558082716643,,
xgb28_delta,qmrxn20_sn2,Pauli,NMAE,0.19875037227029482,0.17452463568376153,0.2268698602490669
xgb28_delta,qmrxn20_sn2,Pauli,RMSE,6.789799464670351,5.946404676578374,7.639491360963837
xgb28_delta,qmrxn20_sn2,Pauli,R2,0.9509161707505159,0.9377991827032195,0.9608750206896535
xgb28_delta,qmrxn20_sn2,Pauli,slope,0.938554223832698,,
xgb28_delta,qmrxn20_sn2,elst,NMAE,0.2280192624572542,0.20134578156790672,0.25572554792547253
xgb28_delta,qmrxn20_sn2,elst,RMSE,6.335452468178832,5.547267168075838,7.098895303090299
xgb28_delta,qmrxn20_sn2,elst,R2,0.9380698469400519,0.9178111766352226,0.9531586332717903
xgb28_delta,qmrxn20_sn2,elst,slope,0.9606856045149175,,
xgb28_delta,qmrxn20_sn2,oi,NMAE,0.1888430426460736,0.1690545221018072,0.21182589441256677
xgb28_delta,qmrxn20_sn2,oi,RMSE,3.20972628200355,2.866443361557487,3.5941052275442518
xgb28_delta,qmrxn20_sn2,oi,R2,0.962029153167693,0.95129483333714,0.9701010081316331
xgb28_delta,qmrxn20_sn2,oi,slope,0.9331019196945638,,
xgb28_delta,qmrxn20_sn2,disp,NMAE,0.1869295089019016,0.16522573239936056,0.2108624779164866
xgb28_delta,qmrxn20_sn2,disp,RMSE,0.3452911075293266,0.3000661110830791,0.39483772447498305
xgb28_delta,qmrxn20_sn2,disp,R2,0.9475860667891511,0.9323402647138911,0.9604394216515332
xgb28_delta,qmrxn20_sn2,disp,slope,0.9564678477695572,,
xgb28_delta,qmrxn20_sn2,barrier,NMAE,0.29240784230183775,0.2563116026210178,0.3303228560150867
xgb28_delta,qmrxn20_sn2,barrier,RMSE,5.6715874410488265,4.872904741805094,6.476237492883559
xgb28_delta,qmrxn20_sn2,barrier,R2,0.893887785655817,0.8553036794067106,0.9221542178941025
xgb28_delta,qmrxn20_sn2,barrier,slope,0.9337203512198083,,
xgb_28d,rgd1,strain,NMAE,0.34095881705229897,0.30438368938463256,0.3849288472385974
xgb_28d,rgd1,strain,RMSE,9.54161298186345,8.372264456460373,10.736067928312375
