rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
2123,-26.36735278189342,70.14150493331493,-27.994072386161736,-16.80195164710942,-8.24222587264191,-2.7030266152230316,-11.97388038771613,-628.626231240626,-628.633203359624,-1108.567817922352,-1108.579805229513,4.375070725518096,7.522148812036502,11.897219537554598
2138,-98.6723417072313,201.02196153531855,-95.92066453348794,-15.047425117477406,-1.9958792235461622,-1.423158919433407,-12.030339736882642,-433.120391211557,-433.151168919896,-956.589481490134,-956.625496251088,19.313303572692575,22.599603704755054,41.91290727744763
2168,-52.04641112949967,91.67912575199196,-38.90137925062819,-15.763678361883354,-1.9046663289247723,-2.9247500597771183,-19.853546660226495,-1286.751644355863,-1286.766635604831,-565.087919462016,-565.103981356725,9.40715075548666,10.078991101281897,19.486141856768555
2201,-7.7528008623615525,32.07291634706074,-9.911579411842283,-12.03607247518484,-4.7023257026518905,-2.153842434455856,-4.483552242886321,-684.98375800952,-684.991307071455,-981.476724959499,-981.477384982585,4.737107884525194,0.41417073954675954,5.151278624071954
2205,-32.01157591545024,90.22375426121701,-41.273190175696286,-17.633401511990186,-3.642060594895914,-3.2333178034960626,-7.566004093126239,-1109.030098913562,-1109.050270501847,-373.692563749781,-373.708225591137,12.657862755841814,9.82795383216753,22.485816588009342
2269,-30.412430960000677,68.3820926776688,-27.56271020000696,-15.901322125762462,-6.964158501533372,-1.7914308010582953,-14.248846144127437,-804.128515076167,-804.166274128109,-2920.083396881782,-2920.090281414447,23.69416282523031,4.320109471800823,28.014272297031134
2295,-52.448093749055886,125.64637246842639,-65.3080819593721,-24.298371402909645,-3.215620844059483,-2.469527390629624,-22.092577647348946,-635.199888842394,-635.225665002457,-619.174620622602,-619.214718145157,16.174784644537166,25.161575289731086,41.33635993426825
2298,-35.596487591018594,89.45699666980246,-47.899179115336,-22.035174712186283,-1.0391161559516275,-3.1101812428949764,-20.21981176655333,-453.879381709912,-453.93146240274,-924.231394305166,-924.256976552695,32.68112816533094,16.05310269232942,48.734230857660364
2299,-38.46949278030783,105.68047619820888,-55.677315860965685,-22.565393548616957,-7.438749564352561,-3.358346807169029,-21.824835607261598,-453.901316274601,-453.931467332873,-924.220381651054,-924.257037302154,18.920074718706747,23.001768343187155,41.9218430618939
2310,-13.475706028350299,55.12045435278714,-26.02437160285454,-16.37311305305554,-7.232411271581658,-2.775497935386369,-10.758599794804871,-962.011198147166,-962.023787728886,-596.147333521494,-596.158065505697,7.900081803733877,6.734421762845583,14.634503566579461
2326,-12.457117715325593,51.93917308618251,-17.547764980310056,-17.823111493958837,-14.691355345828518,-3.371635198795579,-13.949449200368134,-834.474641981099,-834.483380217355,-739.462259984619,-739.473018812436,5.483326037255472,6.751266384963212,12.234592422218684
2353,-44.17121843478085,92.7135962043033,-40.603064462468296,-25.228427541786157,-5.9685193394922065,-2.572466366539989,-25.82471239542367,-876.211701800877,-876.262082205846,-577.642425849993,-577.662040999181,31.614181425195014,12.308691950692781,43.9228733758878
