model,fold,member,channel,MAE,RMSE,NMAE,R2_det
m2,0,0,strain,14.089701435504816,22.600780695129515,0.6966292986010074,0.29509784171908904
m2,0,0,Pauli,48.552035582371246,75.00892342108519,0.6504030691889388,0.4323780099147617
m2,0,0,Velst,24.944591801135967,36.40562841258016,0.6669757005161516,0.42902570948984253
m2,0,0,oi,32.68920284853532,51.81650969223802,0.6460970307254592,0.4016165593532506
m2,0,0,disp,1.4442038711829064,1.9302669012126654,0.23713824509073778,0.934606269148362
m2,0,0,barrier,11.876172696550688,17.283265899620353,0.45139530945441875,0.731640169620858
m2,0,1,strain,14.227820264987457,22.88397521290904,0.7034582313322308,0.2773218979332066
m2,0,1,Pauli,49.12061805602832,74.52259735988183,0.6580198000122263,0.4397145896337211
m2,0,1,Velst,24.989169839865124,36.13476580706307,0.6681676409915079,0.4374903487178804
m2,0,1,oi,33.54017617801825,51.37888470167761,0.6629163867664438,0.4116813717479597
m2,0,1,disp,1.4313440550214205,1.9110003396123225,0.23502666354911894,0.9359051823350625
m2,0,1,barrier,12.051007186946196,17.032135123120185,0.45804050323122425,0.7393822005810384
m2,0,2,strain,14.626722430571531,23.586331508059395,0.7231809300063848,0.23228017691916003
m2,0,2,Pauli,52.059459233895325,79.1624210941165,0.6973885164628617,0.3677752638502636
m2,0,2,Velst,25.40080876610218,38.262083360172056,0.6791741614980562,0.36930887941646817
m2,0,2,oi,35.37412748619532,54.33999515864994,0.6991641502924781,0.3419143128062735
m2,0,2,disp,1.425444456247183,1.898290818918953,0.23405794955521708,0.9367549001608909
m2,0,2,barrier,13.127173039011467,17.861990792353154,0.4989439348526228,0.7133673836070422
m2,0,3,strain,14.630329526387728,23.610222239188644,0.7233592736455262,0.2307241335880218
m2,0,3,Pauli,53.57693070020431,77.58205795029716,0.7177165642420235,0.3927661981706909
m2,0,3,Velst,25.35451002380787,37.40213986823409,0.6779362123537708,0.39733996914556746
m2,0,3,oi,35.79389588534832,53.64985339465053,0.7074608076793769,0.3585241163695809
m2,0,3,disp,1.4182403221344337,1.8749620315221962,0.23287503088633385,0.9382998324925446
m2,0,3,barrier,13.111889753586206,17.840077457955655,0.4983630403565349,0.7140702418259337
m2,0,4,strain,14.821161291538141,23.964168490451666,0.7327944628378628,0.20748646732925724
m2,0,4,Pauli,52.21918955216041,79.24623192148445,0.6995282638080762,0.36643585742917784
m2,0,4,Velst,26.203099413559986,38.60341235377759,0.7006260405615315,0.35800612992708924
m2,0,4,oi,35.614593998361855,54.546214522074806,0.7039169336570522,0.33690998699816943
m2,0,4,disp,1.409478244300072,1.8538888077560278,0.23143629789132594,0.9396789693902425
m2,0,4,barrier,11.677173556998754,17.049946709366196,0.4438316540180762,0.7388368263688418
m2,1,0,strain,16.112889981654384,22.658105923255025,0.8265342360288945,0.11157770535940814
m2,1,0,Pauli,58.251298227617816,90.67783207132834,0.7378805336640365,0.3022178138630206
m2,1,0,Velst,28.127620670680077,43.67114111379019,0.660478837763815,0.3785654457989235
m2,1,0,oi,42.47285040559307,63.79719998987324,0.7422211434815349,0.3039956748400915
m2,1,0,disp,1.5458256411936975,2.2247097477620783,0.25684595587041364,0.9200805624430012
m2,1,0,barrier,14.053494624553188,20.09008440714374,0.5597799870961301,0.6386978947117984
m2,1,1,strain,14.921455939738982,19.568920544836526,0.7654178859058203,0.3373167663011437
m2,1,1,Pauli,57.70559412125618,84.45197466409685,0.7309679935237059,0.39474659881116414
m2,1,1,Velst,28.038935782640213,40.0621883750262,0.6583963832090705,0.4770313499554514
m2,1,1,oi,41.31394997239113,58.154953011292356,0.7219691378709314,0.4216614787916051
m2,1,1,disp,1.5427959023944793,2.1787272882253284,0.25634255099913594,0.9233501253039721
m2,1,1,barrier,14.30076579480402,20.564859569355928,0.5696293132737218,0.6214193036116449
m2,1,2,strain,14.755671285429308,20.279096948325435,0.7569137198157412,0.28834506401468374
m2,1,2,Pauli,58.38786468813496,89.12946982739267,0.7396104476030055,0.3258442119987839
m2,1,2,Velst,29.01548277774165,42.67365755977955,0.6813271753972158,0.4066293599508858
m2,1,2,oi,41.850475077283,61.58031686582745,0.7313450161804069,0.3515260413793767
m2,1,2,disp,1.5254371070573407,2.1415984101481937,0.2534583082602956,0.9259403295929194
m2,1,2,barrier,16.074612611964827,22.200167241234162,0.6402853297983204,0.558816296886501
m2,1,3,strain,14.63483669181024,20.49516733238014,0.7507153327705548,0.273099144582435
m2,1,3,Pauli,57.32383188124626,89.00230203929233,0.7261321369168613,0.3277665782187481
m2,1,3,Velst,28.077561856662072,43.20401883120344,0.659303381521371,0.3917885225751665
m2,1,3,oi,40.994705230766726,64.70563934705245,0.716390275258317,0.28403306278717355
m2,1,3,disp,1.6048260267944106,2.3363687046351793,0.2666491380874172,0.9118568709042874
