model,fold,member,channel,MAE,RMSE,NMAE,R2
m2,1,1,Pauli,35.94735256122176,54.74582640425896,0.42127242715746216,0.7653353332734031
m2,1,1,Velst,16.74268089282285,25.03452557717015,0.44999144031676847,0.7385422838127801
m2,1,1,oi,21.385699480202547,31.455485399104255,0.3724284153939928,0.8150291543864233
m2,1,1,disp,1.2818469259959118,2.0946085802662724,0.21322734154385345,0.9285377943340878
m2,1,1,barrier,10.793298803032583,14.453837080066398,0.3878344706887399,0.8262198347562475
m2,1,2,strain,11.509346864785359,15.983802551496112,0.5191821351568663,0.6551418655888755
m2,1,2,Pauli,34.21970374720871,54.35157935265036,0.4010258510593905,0.7687029956802041
m2,1,2,Velst,16.239156753394255,24.191694113330296,0.4364582699609466,0.7558508047445923
m2,1,2,oi,22.54280114781325,33.67784446954489,0.3925791493420188,0.7879691407611951
m2,1,2,disp,1.2983841741825366,2.107253597605404,0.21597821093065273,0.9276723644403362
m2,1,2,barrier,10.790798615260869,14.67032260814014,0.3877446317044997,0.8209751888922406
m2,1,3,strain,11.050688977454119,16.01781519156267,0.4984922572646848,0.6536726262810709
m2,1,3,Pauli,27.928994342779657,39.967109799293965,0.3273040821243145,0.8749305734851813
m2,1,3,Velst,14.413023204560492,19.06074447440705,0.38737745243173377,0.848433769146073
m2,1,3,oi,17.401458592931178,24.811916806740445,0.30304352005455926,0.8849117113944638
m2,1,3,disp,1.3217365068804687,2.1113709445919704,0.2198627276533956,0.9273894474670139
m2,1,3,barrier,10.65670064272015,14.502272165847257,0.38292610336113997,0.8250532019757463
m2,1,4,strain,11.239957001558535,16.036007395183077,0.5070300637993117,0.6528854982123085
m2,1,4,Pauli,31.977483360630693,49.05026846518364,0.3747489333679709,0.8116227517013923
m2,1,4,Velst,15.387512498600469,22.367428085770868,0.4135687084083258,0.7912844380480135
m2,1,4,oi,20.597727421742334,30.193806456124495,0.35870601246867584,0.8295699257801962
m2,1,4,disp,1.3030872303684047,2.0713855915691464,0.21676053536214823,0.9301136173119999
m2,1,4,barrier,10.59623816965302,14.42415258464977,0.38075351167564586,0.8269329020600791
m2,2,0,strain,11.30381692784607,17.845206340165813,0.4893197023650296,0.5825343479318559
m2,2,0,Pauli,38.423966374366906,64.56465706624331,0.4611325464733866,0.7001908781009145
m2,2,0,Velst,18.38261108033976,29.205434399347563,0.4864506352190976,0.6926989571876441
m2,2,0,oi,22.318775370242488,35.875650303435215,0.40953411432091635,0.7629863885222254
m2,2,0,disp,0.9884138585655553,1.504997417818754,0.1714756874290271,0.9582801162978526
m2,2,0,barrier,10.874175241798353,15.65842117346746,0.37166721022020366,0.8157098081474838
m2,2,1,strain,11.763740596118247,16.55851687846645,0.509228881176585,0.6405649117108162
m2,2,1,Pauli,44.40407289820872,71.63075423681306,0.5329008205410249,0.6309763557535156
m2,2,1,Velst,19.9000966503362,31.155956401485174,0.5266071622888602,0.6502812895462808
m2,2,1,oi,26.0536750551242,40.15281077099049,0.47806694415372464,0.7031031240204075
m2,2,1,disp,0.9686574134857032,1.4456270295545792,0.16804822637932273,0.9615067926414432
m2,2,1,barrier,13.01692726771543,18.05775766963388,0.44490409025549205,0.7549052985175303
m2,2,2,strain,11.825729578543621,16.013183603757337,0.5119122606601623,0.6638501148597189
m2,2,2,Pauli,44.97553383468822,73.68102640229975,0.5397590202979521,0.6095490540067077
m2,2,2,Velst,20.504346829311103,32.683788753360865,0.5425971586016236,0.6151411452838635
m2,2,2,oi,27.04607619031979,40.81791096868247,0.4962768196155871,0.6931859299738865
m2,2,2,disp,0.9686246385240251,1.4126523008391245,0.16804254039158034,0.9632428236554319
m2,2,2,barrier,12.785505430333933,17.555128766666016,0.4369943493536717,0.768359592554195
m2,2,3,strain,11.782156700161613,17.803379669619552,0.5100260776109172,0.5844890168391594
m2,2,3,Pauli,41.75472997859785,70.61052308732464,0.5011056061922948,0.6414134443000321
m2,2,3,Velst,20.140771082252453,32.41818999631391,0.5329760197800504,0.6213706987948774
m2,2,3,oi,24.168140155114944,39.87925289586224,0.4434686809207864,0.7071348124369947
m2,2,3,disp,1.006115368786891,1.529944193425124,0.1745466466304092,0.9568855590719191
m2,2,3,barrier,12.369789357208143,17.612398616930264,0.42278563653575985,0.7668457728166477
m2,2,4,strain,11.921504387050676,15.982633104245041,0.5160581612079049,0.6651315278328607
m2,2,4,Pauli,41.981457804418675,69.72654894793249,0.5038266053379447,0.650335544912494
m2,2,4,Velst,19.851090905013358,30.868160687628517,0.5253103456485312,0.6567123353974772
m2,2,4,oi,24.77343847379563,39.71627364201339,0.4545754870393401,0.7095236944963577
m2,2,4,disp,0.8482052319368739,1.234846286289397,0.14715149324024404,0.9719135157467065
