fold,method,channel,NMAE,RMSE,R2,slope
0,krr,strain,0.7715752723694452,21.141727447509766,0.2691272675501941,0.3833310354934314
0,krr,Pauli,0.711868605762021,100.0626449584961,0.40527921698226954,0.48346812518369137
0,krr,V_elst,0.7859143934129909,43.02371597290039,0.34171403744406925,0.470095600808332
0,krr,oi,0.7013329416361883,81.25569152832031,0.38250347446220645,0.4554546078846433
0,krr,disp,0.26479058662436306,1.9055424928665161,0.9224543492890216,0.9541433247609441
0,krr,barrier_sum,0.5061523206813286,21.49057960510254,0.7486773264861334,0.7780299940042794
0,krr,barrier_direct,0.4830176195423556,20.839059829711914,0.7636847831690303,0.7190189905841732
0,gbm,strain,0.7041187112181353,18.902313232421875,0.415760787474555,0.48267191698981043
0,gbm,Pauli,0.6034735047977262,89.78466033935547,0.5211787124479232,0.5424890616359733
0,gbm,V_elst,0.6466137789806062,36.26808166503906,0.5322132702667339,0.5505992454598423
0,gbm,oi,0.6177972939162312,75.77851104736328,0.4629446087419542,0.4599089853393944
0,gbm,disp,0.2460468794918448,2.0848965644836426,0.9071698238125117,0.9627645079867635
0,gbm,barrier_sum,0.7086446204579925,30.76795196533203,0.48485134013875075,0.8224651716652039
0,gbm,barrier_direct,0.46477452766044697,21.163081053226676,0.7562788664325667,0.7784327304690318
0,rf,strain,0.7147108914231762,18.68224334716797,0.42928550355474226,0.4902455089281525
0,rf,Pauli,0.6065670659189122,85.54328918457031,0.5653486057479167,0.49966327331214755
0,rf,V_elst,0.6750754206011513,37.270668029785156,0.5059929438696827,0.4416432189240058
0,rf,oi,0.6200595323435952,71.9929428100586,0.5152623040665802,0.4411942032838686
0,rf,disp,0.25249495770781716,2.0318431854248047,0.9118341223984511,0.9429936441285167
0,rf,barrier_sum,0.7000294251410629,29.694595336914062,0.5201668406060234,0.7773238978986314
0,rf,barrier_direct,0.47075973370813595,21.00958312033768,0.7598015121551587,0.7652505226062786
1,ridge,strain,0.8171368217900925,21.5529842376709,0.3175891116164782,0.36565261062555005
1,ridge,Pauli,0.8907577324760596,108.86207580566406,0.24776230990682047,0.2604304680990562
1,ridge,V_elst,0.9045427730551241,46.449153900146484,0.20939135234635953,0.22735026424670574
1,ridge,oi,1.0442715440574446,83.55084991455078,0.07221384313336243,0.2490851640217159
1,ridge,disp,0.2896911682532988,2.224126100540161,0.9023645915779622,0.9009794863061493
1,ridge,barrier_sum,0.5231918691575839,20.225074768066406,0.71487836587863,0.8846970277554385
1,ridge,barrier_direct,0.5231925456754242,20.2250919342041,0.714877883363563,0.8846968898939908
1,lasso,strain,0.7902874508213052,20.813232421875,0.3636292054880651,0.3476502176380842
1,lasso,Pauli,0.9131401415453237,111.28630828857422,0.21388641372599904,0.18986664853481516
1,lasso,V_elst,0.943737283393255,47.54410934448242,0.171677626484116,0.1538468535258104
1,lasso,oi,1.0512103680629405,83.57617950439453,0.0716513039133383,0.19423538197149073
1,lasso,disp,0.2921877999727309,2.2235121726989746,0.9024184815626107,0.8890823953771848
1,lasso,barrier_sum,0.5444640706207309,20.955997467041016,0.6938976801985259,0.8837383392479341
1,lasso,barrier_direct,0.5103723070965756,19.859769821166992,0.7250850415572995,0.8601452825294598
1,enet,strain,0.7920147482074831,20.87457847595215,0.35987236625376307,0.3241192347553827
1,enet,Pauli,0.9186368276127331,112.17642211914062,0.20126083994128174,0.17496238209944343
1,enet,V_elst,0.9539901660656138,48.51863479614258,0.13737299078972365,0.11906919814520331
1,enet,oi,1.0432864510300304,83.08495330810547,0.08253217934633572,0.16806114180951306
1,enet,disp,0.29002612885909823,2.194098472595215,0.9049831126415961,0.8878430782203215
1,enet,barrier_sum,0.48717370497572426,19.263507843017578,0.7413451100096441,0.8325301180735049
1,enet,barrier_direct,0.5096961436228046,19.82216453552246,0.7261252061804114,0.8609349529020489
1,krr,strain,0.772186810628119,21.779760360717773,0.3031531735703309,0.372246873150454
1,krr,Pauli,0.7370781817811073,95.9219741821289,0.41596614981515956,0.5438222679491269
1,krr,V_elst,0.791471122851924,40.847991943359375,0.3885691656393687,0.5062849324476575
1,krr,oi,0.8428510173255912,78.98448181152344,0.17085651485608244,0.5087763478650007
1,krr,disp,0.27140970312079826,2.1493122577667236,0.9088225224392162,0.9199064296637802
1,krr,barrier_sum,0.5396183988369048,22.928686141967773,0.6335555177355651,0.8664793956760722
1,krr,barrier_direct,0.4630007883043596,19.28790283203125,0.7406896305237377,0.931785190633776
1,gbm,strain,0.776278766085844,20.643638610839844,0.3739576804989826,0.3581830234449431
1,gbm,Pauli,0.6545025862548064,83.76110076904297,0.5546652724960168,0.511774387808968
1,gbm,V_elst,0.6834699350750905,34.80620193481445,0.5560651719877546,0.5002715704840645
1,gbm,oi,0.7301298595883643,67.2270736694336,0.39933202936391643,0.5290718691695702
1,gbm,disp,0.25327578808148987,2.2610950469970703,0.8990918576899392,0.9326658823391633
1,gbm,barrier_sum,0.8164100033149374,36.94679641723633,0.04851172018758254,0.6896301101533646
