channel,seed,key,n_cand,top1,top3,spearman
d1_own_dft,42,*[C-]([H])[O+]=C(C(=O)OC([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCCO|water|298.15,10,True,True,0.9272727272727272
d1_own_dft,42,*[C-]([N+]#Cc1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,True,True,1.0
d1_own_dft,42,*C#[N+][C-](c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,9,False,True,0.7999999999999999
d1_own_dft,42,*C(=[N+]([H])[C-](C(=O)N([H])C([H])([H])[H])C(=O)N([H])C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,True,True,0.8571428571428573
d1_own_dft,42,*c1oc(=O)[c-](-c2c([H])c([H])c([H])c([H])c2[H])[n+]1C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,8,True,True,0.9761904761904763
d1_own_dft,42,*[n+]1c(-c2c([H])c([H])c([H])c([H])c2[H])oc(=O)[c-]1C(=O)N([H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,11,True,True,0.990909090909091
d1_own_dft,42,*C(=[O+][C-](C#N)C#N)C(=O)OC([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,5,False,True,0.7999999999999999
d1_own_dft,42,*[C-]([N+]#Cc1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCN|water|298.15,3,False,True,
d1_own_dft,42,*C(=[O+][C-](C(=O)N([H])C([H])([H])[H])C(=O)N([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].CC(C)=CC=O|CCCCO|water|298.15,4,True,True,1.0
d1_own_dft,42,*C(=O)C#[N+][C-](C(=O)OC([H])([H])[H])C(=O)OC([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,6,True,True,0.8285714285714287
d1_own_dft,42,*C(C(=O)OC([H])([H])[H])=[N+]([N-]C([H])([H])[H])C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCNN|water|298.15,4,True,True,0.39999999999999997
d1_own_dft,42,*C(=[O+][C-](C#N)C(=O)OC([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,7,False,True,0.8928571428571429
d1_own_dft,42,*C(=O)c1oc(=O)[c-](-c2c([H])c([H])c([H])c([H])c2[H])[o+]1.CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,7,True,True,1.0
d1_own_dft,42,*c1oc(=O)[c-](-c2c([H])c([H])c([H])c([H])c2[H])[o+]1.CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,11,True,True,0.990909090909091
d1_own_dft,42,*[C-](C(=O)C([H])([H])[H])[N+](=C([H])C(=O)OC([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,False,True,0.7500000000000002
d1_own_dft,42,*C(C(=O)OC([H])([H])[H])=[N+]([C-](C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,5,False,True,0.8999999999999998
d1_own_dft,42,*[N+](=C(C(=O)N([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])[C-](C(=O)OC([H])([H])[H])C(=O)C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*[C-](C#N)[O+]=C(C(=O)OC([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,6,False,True,0.7714285714285715
d1_own_dft,42,*[N+](=C([H])C(=O)N([H])C([H])([H])[H])[C-](C#N)C(=O)C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*C(=O)[C-]([N+](=C(C#N)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCN|water|298.15,4,True,True,0.7999999999999999
d1_own_dft,42,*C(=[O+][C-]([H])C(=O)OC([H])([H])[H])C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCO|water|298.15,3,True,True,
d1_own_dft,42,*c1oc(=O)[c-](-c2c([H])c([H])c([H])c([H])c2[H])[o+]1.COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCO|water|298.15,4,True,True,1.0
d1_own_dft,42,*c1oc(=O)[c-](C(=O)OC([H])([H])[H])[o+]1.COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCO|water|298.15,4,True,True,1.0
d1_own_dft,42,*[c-]1[o+]c(C(=O)N([H])C([H])([H])[H])oc1=O.COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCO|water|298.15,6,True,True,0.942857142857143
d1_own_dft,42,*[C-](C(=O)C([H])([H])[H])[N+](=C(C(=O)N([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
